,quantile,sample,celltype,values
513,2,A0253_S22_L001,CD4+ TC,0.064098984
514,2,A0253_S22_L001,CD8+ TC,0.09564158
515,2,A0253_S22_L001,Cycling,0.008931471
516,2,A0253_S22_L001,Mature BC,0.6190949
517,2,A0253_S22_L001,Mono,0.08413743
518,2,A0253_S22_L001,NK,0.031228885
519,2,A0253_S22_L001,Neutro,0.0049634166
520,2,A0253_S22_L001,Plasma BC,0.024994865
521,2,A0253_S22_L001,Pre BC,0.06697962
522,2,A0267_S11_L001,CD4+ TC,0.06937168
523,2,A0267_S11_L001,CD8+ TC,0.10792281
524,2,A0267_S11_L001,Cycling,0.0011403181
525,2,A0267_S11_L001,Mature BC,0.65159285
526,2,A0267_S11_L001,Mono,0.062390953
527,2,A0267_S11_L001,NK,0.030505147
528,2,A0267_S11_L001,Neutro,0.0043492485
529,2,A0267_S11_L001,Plasma BC,0.021397589
530,2,A0267_S11_L001,Pre BC,0.05026593
531,2,A0281_S10_L001,CD4+ TC,0.03804718
532,2,A0281_S10_L001,CD8+ TC,0.08226588
533,2,A0281_S10_L001,Cycling,0.04251723
534,2,A0281_S10_L001,Mature BC,0.49113435
535,2,A0281_S10_L001,Mono,0.24477047
536,2,A0281_S10_L001,NK,0.028126735
537,2,A0281_S10_L001,Neutro,0.0046946546
